"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.group19-project.cs744-s19-pg0.wisc.cloudlab.us",,,,"User:","madanraj"
"Cmdline:","dstat --time --cpu --mem --load --net --output distributed_cluster_rnn.csv",,,,"Date:","09 May 2019 23:13:15 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
09-05 23:14:22,0.300,0.075,99.625,0.0,0.0,0.0,1275412480.0,195932160.0,1776517120.0,1.98022406144e+11,1.450,1.590,1.290,5663275.0,6189555.0
09-05 23:14:23,0.350,0.150,99.500,0.0,0.0,0.0,1273950208.0,195932160.0,1776517120.0,1.98023868416e+11,1.340,1.570,1.290,5631309.0,6184745.0
09-05 23:14:24,0.275,0.150,99.550,0.0,0.0,0.025,1274499072.0,195932160.0,1776517120.0,1.98023319552e+11,1.340,1.570,1.290,5628033.0,6185331.0
09-05 23:14:25,0.175,0.075,99.749,0.0,0.0,0.0,1274437632.0,195932160.0,1776517120.0,1.98023380992e+11,1.340,1.570,1.290,5557895.0,6002223.0
09-05 23:14:26,0.350,0.150,99.475,0.0,0.0,0.025,1273991168.0,195932160.0,1776517120.0,1.98023827456e+11,1.340,1.570,1.290,5573277.0,6188228.0
09-05 23:14:27,0.275,0.175,99.525,0.0,0.0,0.025,1274126336.0,195932160.0,1776517120.0,1.98023692288e+11,1.340,1.570,1.290,5624247.0,6096877.0
09-05 23:14:28,0.425,0.150,99.425,0.0,0.0,0.0,1273139200.0,195932160.0,1776517120.0,1.98024679424e+11,1.230,1.540,1.280,5666441.0,6184036.0
09-05 23:14:29,0.499,0.200,99.277,0.0,0.0,0.025,1272733696.0,195932160.0,1776521216.0,1.98025080832e+11,1.230,1.540,1.280,5546299.0,6188746.0
09-05 23:14:30,0.499,0.224,99.227,0.0,0.0,0.050,1272197120.0,195932160.0,1776521216.0,1.98025617408e+11,1.230,1.540,1.280,5648942.0,6186570.0
09-05 23:14:31,0.250,0.075,99.674,0.0,0.0,0.0,1273757696.0,195932160.0,1776521216.0,1.98024056832e+11,1.230,1.540,1.280,5632109.0,6190880.0
09-05 23:14:32,0.050,0.050,99.900,0.0,0.0,0.0,1273425920.0,195932160.0,1776521216.0,1.98024388608e+11,1.230,1.540,1.280,2039152.0,2214256.0
09-05 23:14:33,0.0,0.0,100.0,0.0,0.0,0.0,1273266176.0,195936256.0,1776521216.0,1.98024544256e+11,1.130,1.510,1.270,8748.0,1116.0
09-05 23:14:34,0.0,0.0,100.0,0.0,0.0,0.0,1273028608.0,195936256.0,1776525312.0,1.98024777728e+11,1.130,1.510,1.270,6012.0,492.0
09-05 23:14:35,0.0,0.025,99.975,0.0,0.0,0.0,1273028608.0,195936256.0,1776525312.0,1.98024777728e+11,1.130,1.510,1.270,6312.0,492.0
09-05 23:14:36,0.0,0.0,100.0,0.0,0.0,0.0,1273028608.0,195936256.0,1776525312.0,1.98024777728e+11,1.130,1.510,1.270,6372.0,492.0
09-05 23:14:37,0.0,0.025,99.975,0.0,0.0,0.0,1273028608.0,195936256.0,1776525312.0,1.98024777728e+11,1.130,1.510,1.270,7392.0,492.0
09-05 23:14:38,0.0,0.025,99.975,0.0,0.0,0.0,1273028608.0,195936256.0,1776525312.0,1.98024777728e+11,1.040,1.490,1.270,8112.0,492.0
09-05 23:14:39,0.0,0.0,100.0,0.0,0.0,0.0,1273028608.0,195936256.0,1776525312.0,1.98024777728e+11,1.040,1.490,1.270,7392.0,492.0
09-05 23:14:40,0.0,0.025,99.975,0.0,0.0,0.0,1273028608.0,195936256.0,1776525312.0,1.98024777728e+11,1.040,1.490,1.270,7092.0,492.0
09-05 23:14:41,0.0,0.0,100.0,0.0,0.0,0.0,1273028608.0,195936256.0,1776525312.0,1.98024777728e+11,1.040,1.490,1.270,7092.0,492.0
