"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.group19-project.cs744-s19-pg0.wisc.cloudlab.us",,,,"User:","madanraj"
"Cmdline:","dstat --time --cpu --mem --load --net --output singlelstm.csv",,,,"Date:","09 May 2019 23:04:29 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
09-05 23:04:53,11.591,2.587,85.821,0.0,0.0,0.0,2496032768.0,195694592.0,1776427008.0,1.96802113536e+11,0.710,0.640,0.290,5892.0,492.0
09-05 23:04:54,12.059,2.402,85.539,0.0,0.0,0.0,2494734336.0,195694592.0,1776427008.0,1.96803411968e+11,0.710,0.640,0.290,6132.0,492.0
09-05 23:04:55,13.372,3.524,83.104,0.0,0.0,0.0,2495029248.0,195694592.0,1776427008.0,1.96803117056e+11,0.710,0.640,0.290,6066.0,398.0
09-05 23:04:56,13.727,2.956,83.317,0.0,0.0,0.0,2494767104.0,195694592.0,1776431104.0,1.96803375104e+11,0.710,0.640,0.290,6312.0,492.0
09-05 23:04:57,12.054,4.179,83.767,0.0,0.0,0.0,2495045632.0,195694592.0,1776431104.0,1.96803096576e+11,0.710,0.640,0.290,6006.0,398.0
09-05 23:04:58,13.261,3.384,83.354,0.0,0.0,0.0,2494865408.0,195694592.0,1776431104.0,1.968032768e+11,0.730,0.640,0.300,6672.0,492.0
09-05 23:04:59,12.706,1.749,85.520,0.0,0.0,0.026,2496471040.0,195698688.0,1776431104.0,1.96801667072e+11,0.730,0.640,0.300,6552.0,492.0
09-05 23:05:00,12.095,3.088,84.818,0.0,0.0,0.0,2496225280.0,195698688.0,1776431104.0,1.96801912832e+11,0.730,0.640,0.300,6132.0,492.0
09-05 23:05:01,13.923,3.113,82.964,0.0,0.0,0.0,2497372160.0,195698688.0,1776431104.0,1.96800765952e+11,0.730,0.640,0.300,5712.0,492.0
09-05 23:05:02,13.858,2.364,83.778,0.0,0.0,0.0,2501427200.0,195698688.0,1776431104.0,1.96796710912e+11,0.730,0.640,0.300,6312.0,492.0
09-05 23:05:03,13.281,2.108,84.611,0.0,0.0,0.0,2502631424.0,195698688.0,1776431104.0,1.96795506688e+11,0.830,0.660,0.310,7092.0,594.0
09-05 23:05:04,11.209,2.537,86.254,0.0,0.0,0.0,2503741440.0,195706880.0,1776431104.0,1.9679438848e+11,0.830,0.660,0.310,6852.0,1114.0
09-05 23:05:05,13.420,2.343,84.237,0.0,0.0,0.0,2507358208.0,195706880.0,1776431104.0,1.96790771712e+11,0.830,0.660,0.310,6912.0,492.0
09-05 23:05:06,12.748,2.545,84.707,0.0,0.0,0.0,2517008384.0,195706880.0,1776431104.0,1.96781121536e+11,0.830,0.660,0.310,7092.0,492.0
09-05 23:05:07,12.839,2.588,84.572,0.0,0.0,0.0,2516832256.0,195706880.0,1776431104.0,1.96781297664e+11,0.830,0.660,0.310,6672.0,492.0
09-05 23:05:08,14.118,2.918,82.963,0.0,0.0,0.0,2516451328.0,195706880.0,1776431104.0,1.96781678592e+11,0.850,0.670,0.310,6552.0,492.0
09-05 23:05:09,12.778,3.011,84.185,0.0,0.0,0.025,2516168704.0,195706880.0,1776431104.0,1.96781961216e+11,0.850,0.670,0.310,6666.0,398.0
09-05 23:05:10,11.552,3.639,84.809,0.0,0.0,0.0,2517434368.0,195710976.0,1776431104.0,1.96780691456e+11,0.850,0.670,0.310,6972.0,492.0
09-05 23:05:11,15.001,3.364,81.635,0.0,0.0,0.0,2520481792.0,195710976.0,1776431104.0,1.96777644032e+11,0.850,0.670,0.310,7398.0,882.0
09-05 23:05:12,12.503,3.126,84.371,0.0,0.0,0.0,2520608768.0,195710976.0,1776431104.0,1.96777517056e+11,0.850,0.670,0.310,6678.0,882.0
09-05 23:05:13,11.314,3.266,85.395,0.0,0.0,0.026,2520854528.0,195710976.0,1776431104.0,1.96777271296e+11,0.860,0.680,0.310,7632.0,492.0
09-05 23:05:14,13.190,2.648,84.161,0.0,0.0,0.0,2532270080.0,195710976.0,1776431104.0,1.96765855744e+11,0.860,0.680,0.310,8586.0,398.0
09-05 23:05:15,13.063,2.317,84.619,0.0,0.0,0.0,2537934848.0,195710976.0,1776431104.0,1.96760190976e+11,0.860,0.680,0.310,8112.0,492.0
09-05 23:05:16,12.887,2.664,84.450,0.0,0.0,0.0,2539610112.0,195719168.0,1776431104.0,1.9675850752e+11,0.860,0.680,0.310,7632.0,492.0
09-05 23:05:17,12.792,2.766,84.442,0.0,0.0,0.0,2538926080.0,195719168.0,1776431104.0,1.96759191552e+11,0.860,0.680,0.310,7752.0,492.0
09-05 23:05:18,13.077,2.838,84.085,0.0,0.0,0.0,2539053056.0,195719168.0,1776431104.0,1.96759064576e+11,0.870,0.680,0.320,6132.0,558.0
09-05 23:05:19,11.665,1.793,86.542,0.0,0.0,0.0,2540449792.0,195719168.0,1776431104.0,1.9675766784e+11,0.870,0.680,0.320,6246.0,398.0
09-05 23:05:20,15.272,2.302,82.426,0.0,0.0,0.0,2543366144.0,195719168.0,1776431104.0,1.96754751488e+11,0.870,0.680,0.320,6186.0,398.0
09-05 23:05:21,14.120,3.851,82.029,0.0,0.0,0.0,2549264384.0,195719168.0,1776431104.0,1.96748853248e+11,0.870,0.680,0.320,6252.0,492.0
09-05 23:05:22,12.995,2.741,84.264,0.0,0.0,0.0,2550374400.0,195723264.0,1776431104.0,1.96747739136e+11,0.870,0.680,0.320,5892.0,492.0
09-05 23:05:23,13.261,3.234,83.505,0.0,0.0,0.0,2550497280.0,195723264.0,1776431104.0,1.96747616256e+11,3.680,1.270,0.510,6198.0,1505.0
09-05 23:05:24,12.273,2.357,85.370,0.0,0.0,0.0,2550497280.0,195723264.0,1776431104.0,1.96747616256e+11,3.680,1.270,0.510,5946.0,398.0
09-05 23:05:25,14.581,2.538,82.881,0.0,0.0,0.0,2550116352.0,195723264.0,1776431104.0,1.96747997184e+11,3.680,1.270,0.510,5892.0,492.0
09-05 23:05:26,12.458,1.919,85.597,0.0,0.0,0.026,2549977088.0,195723264.0,1776431104.0,1.96748136448e+11,3.680,1.270,0.510,5226.0,398.0
09-05 23:05:27,13.953,2.801,83.246,0.0,0.0,0.0,2550099968.0,195723264.0,1776435200.0,1.96748009472e+11,3.680,1.270,0.510,5532.0,492.0
09-05 23:05:28,11.829,1.860,86.312,0.0,0.0,0.0,2550050816.0,195727360.0,1776435200.0,1.96748054528e+11,3.630,1.300,0.520,6012.0,492.0
09-05 23:05:29,11.760,2.998,85.242,0.0,0.0,0.0,2549796864.0,195727360.0,1776435200.0,1.9674830848e+11,3.630,1.300,0.520,5892.0,492.0
09-05 23:05:30,14.532,1.976,83.492,0.0,0.0,0.0,2550423552.0,195727360.0,1776435200.0,1.96747681792e+11,3.630,1.300,0.520,5826.0,398.0
09-05 23:05:31,14.644,2.486,82.869,0.0,0.0,0.0,2551042048.0,195727360.0,1776435200.0,1.96747063296e+11,3.630,1.300,0.520,5526.0,398.0
09-05 23:05:32,13.423,3.206,83.371,0.0,0.0,0.0,2550915072.0,195727360.0,1776435200.0,1.96747190272e+11,3.630,1.300,0.520,5886.0,398.0
09-05 23:05:33,15.179,1.984,82.837,0.0,0.0,0.0,2550726656.0,195727360.0,1776435200.0,1.96747378688e+11,6.540,1.940,0.740,6246.0,398.0
09-05 23:05:34,12.109,2.668,85.223,0.0,0.0,0.0,2550996992.0,195727360.0,1776439296.0,1.96747104256e+11,6.540,1.940,0.740,6012.0,492.0
09-05 23:05:35,13.003,2.504,84.493,0.0,0.0,0.0,2551119872.0,195727360.0,1776439296.0,1.96746981376e+11,6.540,1.940,0.740,5946.0,398.0
09-05 23:05:36,13.474,2.740,83.761,0.0,0.0,0.025,2551246848.0,195727360.0,1776439296.0,1.967468544e+11,6.540,1.940,0.740,5952.0,492.0
09-05 23:05:37,12.885,3.082,84.032,0.0,0.0,0.0,2551463936.0,195727360.0,1776439296.0,1.96746637312e+11,6.540,1.940,0.740,6486.0,500.0
09-05 23:05:38,12.977,2.036,84.987,0.0,0.0,0.0,2552254464.0,195727360.0,1776439296.0,1.96745846784e+11,6.420,1.990,0.760,7224.0,1442.0
09-05 23:05:39,11.416,3.284,85.300,0.0,0.0,0.0,2552635392.0,195727360.0,1776439296.0,1.96745465856e+11,6.420,1.990,0.760,7566.0,398.0
09-05 23:05:40,14.357,2.472,83.171,0.0,0.0,0.0,2552602624.0,195731456.0,1776439296.0,1.96745494528e+11,6.420,1.990,0.760,7872.0,492.0
09-05 23:05:41,12.279,3.782,83.938,0.0,0.0,0.0,2552586240.0,195731456.0,1776439296.0,1.96745510912e+11,6.420,1.990,0.760,6912.0,492.0
09-05 23:05:42,13.313,2.329,84.358,0.0,0.0,0.0,2552897536.0,195731456.0,1776439296.0,1.96745199616e+11,6.420,1.990,0.760,6546.0,398.0
09-05 23:05:43,12.494,2.155,85.351,0.0,0.0,0.0,2552897536.0,195731456.0,1776439296.0,1.96745199616e+11,6.060,1.990,0.770,6486.0,398.0
09-05 23:05:44,13.522,2.397,84.082,0.0,0.0,0.0,2553020416.0,195731456.0,1776439296.0,1.96745076736e+11,6.060,1.990,0.770,6426.0,398.0
09-05 23:05:45,12.770,2.620,84.610,0.0,0.0,0.0,2553393152.0,195731456.0,1776439296.0,1.96744704e+11,6.060,1.990,0.770,6432.0,492.0
09-05 23:05:46,12.474,1.653,85.847,0.0,0.0,0.026,2554028032.0,195731456.0,1776439296.0,1.9674406912e+11,6.060,1.990,0.770,6672.0,492.0
09-05 23:05:47,13.842,2.608,83.551,0.0,0.0,0.0,2553757696.0,195731456.0,1776439296.0,1.96744339456e+11,6.060,1.990,0.770,7206.0,398.0
09-05 23:05:48,11.586,3.794,84.619,0.0,0.0,0.0,2553999360.0,195731456.0,1776439296.0,1.96744097792e+11,7.020,2.260,0.860,7386.0,398.0
09-05 23:05:49,12.195,2.234,85.571,0.0,0.0,0.0,2553974784.0,195731456.0,1776439296.0,1.96744122368e+11,7.020,2.260,0.860,7452.0,492.0
09-05 23:05:50,12.424,2.571,85.005,0.0,0.0,0.0,2554220544.0,195731456.0,1776439296.0,1.96743876608e+11,7.020,2.260,0.860,7686.0,398.0
09-05 23:05:51,12.509,3.506,83.985,0.0,0.0,0.0,2555981824.0,195731456.0,1776439296.0,1.96742115328e+11,7.020,2.260,0.860,6906.0,398.0
09-05 23:05:52,13.358,2.893,83.748,0.0,0.0,0.0,2556346368.0,195731456.0,1776439296.0,1.96741750784e+11,7.020,2.260,0.860,7332.0,492.0
09-05 23:05:53,15.002,2.881,82.116,0.0,0.0,0.0,2556338176.0,195731456.0,1776439296.0,1.96741758976e+11,6.540,2.240,0.860,6792.0,492.0
09-05 23:05:54,13.265,2.895,83.841,0.0,0.0,0.0,2556166144.0,195731456.0,1776439296.0,1.96741931008e+11,6.540,2.240,0.860,6786.0,398.0
09-05 23:05:55,13.114,3.611,83.275,0.0,0.0,0.0,2556035072.0,195731456.0,1776439296.0,1.9674206208e+11,6.540,2.240,0.860,7518.0,882.0
09-05 23:05:56,14.168,2.332,83.501,0.0,0.0,0.0,2556915712.0,195731456.0,1776439296.0,1.9674118144e+11,6.540,2.240,0.860,8004.0,720.0
09-05 23:05:57,12.706,3.088,84.181,0.0,0.0,0.025,2556649472.0,195731456.0,1776439296.0,1.9674144768e+11,6.540,2.240,0.860,6786.0,398.0
09-05 23:05:58,12.977,3.614,83.409,0.0,0.0,0.0,2556768256.0,195731456.0,1776443392.0,1.967413248e+11,6.170,2.230,0.870,7332.0,492.0
09-05 23:05:59,12.567,2.361,85.072,0.0,0.0,0.0,2556985344.0,195731456.0,1776443392.0,1.96741107712e+11,6.170,2.230,0.870,6912.0,492.0
09-05 23:06:00,12.747,2.813,84.440,0.0,0.0,0.0,2556592128.0,195731456.0,1776443392.0,1.96741500928e+11,6.170,2.230,0.870,6672.0,492.0
09-05 23:06:01,14.296,3.586,82.117,0.0,0.0,0.0,2557210624.0,195731456.0,1776443392.0,1.96740882432e+11,6.170,2.230,0.870,6966.0,398.0
09-05 23:06:02,13.425,1.965,84.609,0.0,0.0,0.0,2556956672.0,195731456.0,1776443392.0,1.96741136384e+11,6.170,2.230,0.870,6672.0,492.0
09-05 23:06:03,12.484,2.307,85.209,0.0,0.0,0.0,2555936768.0,195735552.0,1776443392.0,1.96742152192e+11,8.880,2.860,1.080,7752.0,492.0
09-05 23:06:04,12.727,3.503,83.770,0.0,0.0,0.0,2556149760.0,195735552.0,1776443392.0,1.967419392e+11,8.880,2.860,1.080,7392.0,492.0
09-05 23:06:05,14.254,3.223,82.524,0.0,0.0,0.0,2556731392.0,195735552.0,1776443392.0,1.96741357568e+11,8.880,2.860,1.080,8172.0,546.0
09-05 23:06:06,12.619,1.975,85.407,0.0,0.0,0.0,2556932096.0,195735552.0,1776443392.0,1.96741156864e+11,8.880,2.860,1.080,7752.0,492.0
09-05 23:06:07,11.365,3.438,85.172,0.0,0.0,0.026,2556805120.0,195735552.0,1776443392.0,1.9674128384e+11,8.880,2.860,1.080,8646.0,492.0
09-05 23:06:08,11.733,2.644,85.623,0.0,0.0,0.0,2557022208.0,195735552.0,1776443392.0,1.96741066752e+11,8.330,2.850,1.080,8526.0,398.0
09-05 23:06:09,11.010,2.629,86.361,0.0,0.0,0.0,2556362752.0,195735552.0,1776443392.0,1.96741726208e+11,8.330,2.850,1.080,8292.0,492.0
09-05 23:06:10,14.056,3.508,82.436,0.0,0.0,0.0,2557218816.0,195735552.0,1776443392.0,1.96740870144e+11,8.330,2.850,1.080,8592.0,492.0
09-05 23:06:11,11.620,3.302,85.078,0.0,0.0,0.0,2557980672.0,195735552.0,1776443392.0,1.96740108288e+11,8.330,2.850,1.080,8172.0,594.0
09-05 23:06:12,12.952,2.366,84.682,0.0,0.0,0.0,2558054400.0,195735552.0,1776443392.0,1.9674003456e+11,8.330,2.850,1.080,8712.0,1060.0
09-05 23:06:13,11.825,3.046,85.129,0.0,0.0,0.0,2558169088.0,195735552.0,1776443392.0,1.96739919872e+11,8.630,3.0,1.140,9306.0,398.0
09-05 23:06:14,12.839,3.811,83.350,0.0,0.0,0.0,2558025728.0,195735552.0,1776443392.0,1.96740063232e+11,8.630,3.0,1.140,9792.0,492.0
09-05 23:06:15,12.807,2.784,84.409,0.0,0.0,0.0,2558103552.0,195739648.0,1776443392.0,1.96739981312e+11,8.630,3.0,1.140,9732.0,492.0
09-05 23:06:16,15.256,5.117,79.627,0.0,0.0,0.0,2558341120.0,195739648.0,1776443392.0,1.96739743744e+11,8.630,3.0,1.140,9732.0,492.0
09-05 23:06:17,13.677,1.968,84.355,0.0,0.0,0.0,2557947904.0,195739648.0,1776443392.0,1.9674013696e+11,8.630,3.0,1.140,9972.0,492.0
09-05 23:06:18,15.162,3.165,81.673,0.0,0.0,0.0,2557816832.0,195739648.0,1776443392.0,1.96740268032e+11,8.020,2.960,1.140,11196.0,1196.0
09-05 23:06:19,12.462,2.252,85.287,0.0,0.0,0.0,2557665280.0,195739648.0,1776443392.0,1.96740419584e+11,8.020,2.960,1.140,11436.0,814.0
09-05 23:06:20,13.238,2.864,83.899,0.0,0.0,0.0,2559819776.0,195739648.0,1776443392.0,1.96738265088e+11,8.020,2.960,1.140,9372.0,7368.0
09-05 23:06:21,12.765,3.387,83.847,0.0,0.0,0.0,2560176128.0,195739648.0,1776443392.0,1.96737908736e+11,8.020,2.960,1.140,9972.0,492.0
09-05 23:06:22,12.954,2.565,84.455,0.0,0.0,0.025,2560028672.0,195739648.0,1776443392.0,1.96738056192e+11,8.020,2.960,1.140,9492.0,882.0
09-05 23:06:23,13.406,2.111,84.482,0.0,0.0,0.0,2560270336.0,195739648.0,1776443392.0,1.96737814528e+11,7.450,2.930,1.140,9798.0,882.0
09-05 23:06:24,12.826,2.274,84.900,0.0,0.0,0.0,2559528960.0,195739648.0,1776443392.0,1.96738555904e+11,7.450,2.930,1.140,10752.0,492.0
09-05 23:06:25,12.924,3.010,84.067,0.0,0.0,0.0,2559401984.0,195739648.0,1776443392.0,1.9673868288e+11,7.450,2.930,1.140,10452.0,492.0
09-05 23:06:26,11.570,3.669,84.761,0.0,0.0,0.0,2559782912.0,195739648.0,1776443392.0,1.96738301952e+11,7.450,2.930,1.140,10212.0,492.0
09-05 23:06:27,12.988,2.714,84.297,0.0,0.0,0.0,2559500288.0,195743744.0,1776443392.0,1.9673858048e+11,7.450,2.930,1.140,9612.0,492.0
09-05 23:06:28,13.896,3.548,82.556,0.0,0.0,0.0,2559242240.0,195743744.0,1776447488.0,1.96738834432e+11,6.940,2.900,1.140,8532.0,492.0
09-05 23:06:29,12.273,2.716,85.012,0.0,0.0,0.0,2559483904.0,195743744.0,1776447488.0,1.96738592768e+11,6.940,2.900,1.140,7992.0,492.0
09-05 23:06:30,12.958,3.415,83.626,0.0,0.0,0.0,2559553536.0,195743744.0,1776447488.0,1.96738523136e+11,6.940,2.900,1.140,7926.0,398.0
09-05 23:06:31,11.993,3.241,84.767,0.0,0.0,0.0,2559795200.0,195743744.0,1776447488.0,1.96738281472e+11,6.940,2.900,1.140,7392.0,492.0
09-05 23:06:32,12.640,2.396,84.964,0.0,0.0,0.0,2559508480.0,195743744.0,1776447488.0,1.96738568192e+11,6.940,2.900,1.140,7632.0,492.0
09-05 23:06:33,13.100,2.361,84.539,0.0,0.0,0.0,2559762432.0,195743744.0,1776447488.0,1.9673831424e+11,9.660,3.530,1.350,8112.0,492.0
09-05 23:06:34,10.974,3.168,85.858,0.0,0.0,0.0,2559594496.0,195743744.0,1776447488.0,1.96738482176e+11,9.660,3.530,1.350,8832.0,492.0
09-05 23:06:35,12.379,2.705,84.916,0.0,0.0,0.0,2559336448.0,195743744.0,1776447488.0,1.96738740224e+11,9.660,3.530,1.350,9492.0,492.0
09-05 23:06:36,11.378,2.864,85.759,0.0,0.0,0.0,2559565824.0,195743744.0,1776447488.0,1.96738510848e+11,9.660,3.530,1.350,9126.0,398.0
09-05 23:06:37,11.647,2.925,85.428,0.0,0.0,0.0,2559307776.0,195743744.0,1776451584.0,1.967387648e+11,9.660,3.530,1.350,9966.0,398.0
09-05 23:06:38,13.609,2.053,84.339,0.0,0.0,0.0,2559545344.0,195743744.0,1776451584.0,1.96738527232e+11,8.970,3.490,1.350,10152.0,492.0
09-05 23:06:39,12.113,2.612,85.275,0.0,0.0,0.0,2559660032.0,195743744.0,1776451584.0,1.96738412544e+11,8.970,3.490,1.350,9132.0,492.0
09-05 23:06:40,12.611,2.670,84.719,0.0,0.0,0.0,2559737856.0,195743744.0,1776451584.0,1.9673833472e+11,8.970,3.490,1.350,7992.0,492.0
09-05 23:06:41,12.809,3.209,83.982,0.0,0.0,0.0,2559119360.0,195743744.0,1776451584.0,1.96738953216e+11,8.970,3.490,1.350,7146.0,398.0
09-05 23:06:42,11.700,1.742,86.557,0.0,0.0,0.0,2558746624.0,195743744.0,1776451584.0,1.96739325952e+11,8.970,3.490,1.350,6726.0,398.0
09-05 23:06:43,14.780,4.293,80.927,0.0,0.0,0.0,2559254528.0,195743744.0,1776451584.0,1.96738818048e+11,8.330,3.450,1.350,6612.0,492.0
09-05 23:06:44,13.086,3.334,83.580,0.0,0.0,0.0,2559250432.0,195743744.0,1776451584.0,1.96738822144e+11,8.330,3.450,1.350,7206.0,398.0
09-05 23:06:45,12.792,2.817,84.391,0.0,0.0,0.0,2559201280.0,195747840.0,1776451584.0,1.967388672e+11,8.330,3.450,1.350,7326.0,500.0
09-05 23:06:46,12.424,2.846,84.731,0.0,0.0,0.0,2559934464.0,195747840.0,1776451584.0,1.96738134016e+11,8.330,3.450,1.350,7158.0,1060.0
09-05 23:06:47,16.013,2.501,81.486,0.0,0.0,0.0,2560057344.0,195747840.0,1776451584.0,1.96738011136e+11,8.330,3.450,1.350,7386.0,398.0
09-05 23:06:48,13.019,2.736,84.245,0.0,0.0,0.0,2559991808.0,195747840.0,1776451584.0,1.96738076672e+11,7.740,3.410,1.350,8712.0,558.0
09-05 23:06:49,13.069,2.401,84.530,0.0,0.0,0.0,2560622592.0,195747840.0,1776451584.0,1.96737445888e+11,7.740,3.410,1.350,8412.0,464.0
09-05 23:06:50,12.443,3.060,84.498,0.0,0.0,0.0,2560614400.0,195747840.0,1776451584.0,1.9673745408e+11,7.740,3.410,1.350,8346.0,398.0
09-05 23:06:51,12.984,2.480,84.536,0.0,0.0,0.0,2560438272.0,195751936.0,1776451584.0,1.96737626112e+11,7.740,3.410,1.350,8112.0,492.0
09-05 23:06:52,11.741,3.599,84.661,0.0,0.0,0.0,2560057344.0,195751936.0,1776451584.0,1.9673800704e+11,7.740,3.410,1.350,7812.0,492.0
09-05 23:06:53,13.449,3.306,83.246,0.0,0.0,0.0,2560430080.0,195751936.0,1776451584.0,1.96737634304e+11,7.520,3.430,1.370,7146.0,398.0
09-05 23:06:54,10.775,2.894,86.331,0.0,0.0,0.0,2560430080.0,195751936.0,1776451584.0,1.96737634304e+11,7.520,3.430,1.370,7266.0,398.0
09-05 23:06:55,12.478,3.475,84.048,0.0,0.0,0.0,2560811008.0,195751936.0,1776451584.0,1.96737253376e+11,7.520,3.430,1.370,7626.0,398.0
09-05 23:06:56,12.548,2.279,85.173,0.0,0.0,0.0,2560536576.0,195751936.0,1776451584.0,1.96737527808e+11,7.520,3.430,1.370,8046.0,398.0
09-05 23:06:57,12.320,3.516,84.164,0.0,0.0,0.0,2560913408.0,195751936.0,1776451584.0,1.96737150976e+11,7.520,3.430,1.370,8112.0,492.0
09-05 23:06:58,14.361,2.105,83.534,0.0,0.0,0.0,2560786432.0,195751936.0,1776451584.0,1.96737277952e+11,7.0,3.390,1.360,8898.0,882.0
09-05 23:06:59,13.491,2.007,84.502,0.0,0.0,0.0,2560782336.0,195751936.0,1776455680.0,1.96737277952e+11,7.0,3.390,1.360,8952.0,492.0
09-05 23:07:00,14.501,3.483,82.016,0.0,0.0,0.0,2560352256.0,195751936.0,1776455680.0,1.96737708032e+11,7.0,3.390,1.360,8652.0,492.0
09-05 23:07:01,12.446,2.927,84.627,0.0,0.0,0.0,2560843776.0,195751936.0,1776455680.0,1.96737216512e+11,7.0,3.390,1.360,8126.0,668.0
09-05 23:07:02,13.553,3.042,83.405,0.0,0.0,0.0,2560335872.0,195751936.0,1776455680.0,1.96737724416e+11,7.0,3.390,1.360,7872.0,12046.0
09-05 23:07:03,12.053,2.860,85.061,0.0,0.0,0.026,2560823296.0,195760128.0,1776455680.0,1.967372288e+11,6.520,3.350,1.360,7152.0,492.0
09-05 23:07:04,14.016,3.057,82.927,0.0,0.0,0.0,2561204224.0,195760128.0,1776455680.0,1.96736847872e+11,6.520,3.350,1.360,7212.0,492.0
09-05 23:07:05,14.903,2.837,82.260,0.0,0.0,0.0,2561433600.0,195760128.0,1776455680.0,1.96736618496e+11,6.520,3.350,1.360,7572.0,492.0
09-05 23:07:06,12.628,2.485,84.887,0.0,0.0,0.0,2561302528.0,195760128.0,1776455680.0,1.96736749568e+11,6.520,3.350,1.360,7266.0,398.0
09-05 23:07:07,11.294,2.501,86.204,0.0,0.0,0.0,2561531904.0,195760128.0,1776455680.0,1.96736520192e+11,6.520,3.350,1.360,6912.0,492.0
