"Dstat 0.7.2 CSV output"
"Author:","Dag Wieers <dag@wieers.com>",,,,"URL:","http://dag.wieers.com/home-made/dstat/"
"Host:","node0.group19-project.cs744-s19-pg0.wisc.cloudlab.us",,,,"User:","madanraj"
"Cmdline:","dstat --time --cpu --mem --load --net --output distributed_cluster_lstm.csv",,,,"Date:","09 May 2019 23:23:19 CDT"

"system","total cpu usage",,,,,,"memory usage",,,,"load avg",,,"net/total",
09-05 23:23:32,13.274,2.640,84.086,0.0,0.0,0.0,2718535680.0,196145152.0,1776599040.0,1.96578988032e+11,0.390,1.260,1.240,9036.0,1164.0
09-05 23:23:33,12.889,2.937,84.148,0.0,0.0,0.025,2727428096.0,196145152.0,1776599040.0,1.96570095616e+11,0.390,1.260,1.240,8352.0,492.0
09-05 23:23:34,12.718,2.226,85.031,0.0,0.0,0.026,2731999232.0,196145152.0,1776599040.0,1.9656552448e+11,0.440,1.250,1.240,9240.0,594.0
09-05 23:23:35,13.157,2.320,84.498,0.0,0.0,0.025,2734108672.0,196145152.0,1776599040.0,1.9656341504e+11,0.440,1.250,1.240,10524.0,908.0
09-05 23:23:36,12.986,2.754,84.234,0.0,0.0,0.025,2738688000.0,196145152.0,1776599040.0,1.96558835712e+11,0.440,1.250,1.240,9582.0,908.0
09-05 23:23:37,12.538,2.854,84.608,0.0,0.0,0.0,2743832576.0,196145152.0,1776599040.0,1.96553691136e+11,0.440,1.250,1.240,9840.0,4424.0
09-05 23:23:38,12.346,2.177,85.451,0.0,0.0,0.026,2746580992.0,196145152.0,1776599040.0,1.9655094272e+11,0.440,1.250,1.240,9492.0,492.0
09-05 23:23:39,15.564,2.941,81.495,0.0,0.0,0.0,2749517824.0,196145152.0,1776599040.0,1.96548005888e+11,2.890,1.750,1.400,9912.0,492.0
09-05 23:23:40,15.354,2.592,82.029,0.0,0.0,0.025,2748170240.0,196145152.0,1776599040.0,1.96549353472e+11,2.890,1.750,1.400,10332.0,1002.0
09-05 23:23:41,12.182,2.544,85.248,0.0,0.0,0.026,2751729664.0,196145152.0,1776599040.0,1.96545794048e+11,2.890,1.750,1.400,10422.0,908.0
09-05 23:23:42,11.959,2.510,85.506,0.0,0.0,0.026,2757709824.0,196145152.0,1776599040.0,1.96539813888e+11,2.890,1.750,1.400,9726.0,984.0
09-05 23:23:43,14.624,2.691,82.686,0.0,0.0,0.0,2760196096.0,196145152.0,1776599040.0,1.96537327616e+11,2.890,1.750,1.400,10086.0,4400.0
09-05 23:23:44,10.156,3.203,86.615,0.0,0.0,0.026,2768551936.0,196145152.0,1776599040.0,1.96528971776e+11,3.780,1.950,1.470,9912.0,492.0
09-05 23:23:45,11.066,5.890,83.019,0.0,0.0,0.025,2783641600.0,196145152.0,1776599040.0,1.96513882112e+11,3.780,1.950,1.470,9852.0,492.0
09-05 23:23:46,14.080,4.859,81.061,0.0,0.0,0.0,2785652736.0,196145152.0,1776603136.0,1.9651186688e+11,3.780,1.950,1.470,9372.0,492.0
09-05 23:23:47,12.798,3.301,83.875,0.025,0.0,0.0,2789437440.0,196149248.0,1776603136.0,1.9650807808e+11,3.780,1.950,1.470,10236.0,798.0
09-05 23:23:48,11.510,3.025,85.414,0.0,0.0,0.051,2791591936.0,196149248.0,1776603136.0,1.96505923584e+11,3.780,1.950,1.470,10518.0,1112.0
09-05 23:23:49,12.809,2.245,84.920,0.0,0.0,0.026,2789519360.0,196149248.0,1776603136.0,1.9650799616e+11,3.640,1.950,1.470,10260.0,648.0
09-05 23:23:50,13.831,2.881,83.287,0.0,0.0,0.0,2791976960.0,196149248.0,1776603136.0,1.9650553856e+11,3.640,1.950,1.470,10812.0,4392.0
09-05 23:23:51,12.835,2.526,84.639,0.0,0.0,0.0,2792427520.0,196149248.0,1776603136.0,1.96505088e+11,3.640,1.950,1.470,9492.0,882.0
09-05 23:23:52,13.522,2.910,83.542,0.0,0.0,0.025,2793500672.0,196149248.0,1776603136.0,1.96504014848e+11,3.640,1.950,1.470,9012.0,492.0
09-05 23:23:53,12.580,2.496,84.925,0.0,0.0,0.0,2791751680.0,196153344.0,1776603136.0,1.96505759744e+11,3.640,1.950,1.470,8172.0,594.0
09-05 23:23:54,11.169,2.265,86.540,0.0,0.0,0.026,2794553344.0,196153344.0,1776603136.0,1.9650295808e+11,4.150,2.080,1.520,7872.0,1442.0
09-05 23:23:55,11.217,2.740,86.043,0.0,0.0,0.0,2797064192.0,196153344.0,1776603136.0,1.96500447232e+11,4.150,2.080,1.520,9102.0,1188.0
09-05 23:23:56,11.618,2.962,85.420,0.0,0.0,0.0,2797064192.0,196153344.0,1776603136.0,1.96500447232e+11,4.150,2.080,1.520,10218.0,1112.0
09-05 23:23:57,11.940,2.690,85.345,0.0,0.0,0.026,2798075904.0,196153344.0,1776603136.0,1.9649943552e+11,4.150,2.080,1.520,9458.0,900.0
09-05 23:23:58,12.743,2.584,84.621,0.0,0.0,0.051,2798276608.0,196153344.0,1776603136.0,1.96499234816e+11,4.150,2.080,1.520,3172512.0,3489225.0
09-05 23:23:59,11.675,2.433,85.866,0.0,0.0,0.026,2802970624.0,196157440.0,1776603136.0,1.96494536704e+11,3.890,2.070,1.520,4526280.0,5212422.0
09-05 23:24:00,14.054,2.901,83.046,0.0,0.0,0.0,2804957184.0,196157440.0,1776603136.0,1.96492550144e+11,3.890,2.070,1.520,5223038.0,5217145.0
09-05 23:24:01,12.598,3.658,83.719,0.0,0.0,0.025,2813874176.0,196157440.0,1776603136.0,1.96483633152e+11,3.890,2.070,1.520,4870497.0,5908350.0
09-05 23:24:02,11.883,3.164,84.928,0.0,0.0,0.026,2818523136.0,196157440.0,1776603136.0,1.96478984192e+11,3.890,2.070,1.520,4871370.0,5216852.0
09-05 23:24:03,13.041,2.786,84.148,0.0,0.0,0.025,2823012352.0,196157440.0,1776603136.0,1.96474494976e+11,3.890,2.070,1.520,5203454.0,5562131.0
09-05 23:24:04,14.167,2.491,83.317,0.0,0.0,0.025,2829914112.0,196157440.0,1776603136.0,1.96467593216e+11,3.660,2.050,1.510,4867165.0,5567962.0
09-05 23:24:05,13.949,2.760,83.216,0.0,0.0,0.075,2832936960.0,196161536.0,1776603136.0,1.96464566272e+11,3.660,2.050,1.510,5218860.0,5564761.0
09-05 23:24:06,12.821,2.818,84.362,0.0,0.0,0.0,2836119552.0,196161536.0,1776603136.0,1.9646138368e+11,3.660,2.050,1.510,4869079.0,5563929.0
09-05 23:24:07,13.598,2.380,83.971,0.0,0.0,0.051,2837422080.0,196161536.0,1776603136.0,1.96460081152e+11,3.660,2.050,1.510,4865531.0,5217858.0
09-05 23:24:08,12.147,3.030,84.823,0.0,0.0,0.0,2839085056.0,196161536.0,1776603136.0,1.96458418176e+11,3.660,2.050,1.510,4866265.0,5563548.0
09-05 23:24:09,13.555,2.238,84.181,0.0,0.0,0.025,2840969216.0,196161536.0,1776603136.0,1.96456534016e+11,3.450,2.030,1.510,5212438.0,5569178.0
09-05 23:24:10,13.628,2.866,83.455,0.0,0.0,0.050,2840563712.0,196161536.0,1776603136.0,1.9645693952e+11,3.450,2.030,1.510,4868571.0,5561876.0
09-05 23:24:11,13.184,3.415,83.375,0.0,0.0,0.025,2841387008.0,196169728.0,1776603136.0,1.96456108032e+11,3.450,2.030,1.510,4878469.0,5219685.0
09-05 23:24:12,13.602,2.432,83.941,0.0,0.0,0.025,2842435584.0,196169728.0,1776603136.0,1.96455059456e+11,3.450,2.030,1.510,5204985.0,5574338.0
09-05 23:24:13,11.534,3.082,85.358,0.0,0.0,0.026,2843348992.0,196169728.0,1776607232.0,1.96454141952e+11,3.450,2.030,1.510,4867576.0,5561750.0
09-05 23:24:14,11.988,2.920,85.092,0.0,0.0,0.0,2846580736.0,196169728.0,1776607232.0,1.96450910208e+11,6.220,2.630,1.710,4872130.0,5235293.0
09-05 23:24:15,15.383,3.901,80.644,0.0,0.0,0.073,2845134848.0,196169728.0,1776611328.0,1.96452352e+11,6.220,2.630,1.710,4867518.0,5561488.0
09-05 23:24:16,11.730,2.279,85.966,0.0,0.0,0.026,2847096832.0,196169728.0,1776611328.0,1.96450390016e+11,6.220,2.630,1.710,5206865.0,5565139.0
09-05 23:24:17,13.187,2.987,83.827,0.0,0.0,0.0,2848358400.0,196173824.0,1776611328.0,1.96449124352e+11,6.220,2.630,1.710,4871003.0,5560971.0
09-05 23:24:18,11.269,3.412,85.293,0.0,0.0,0.026,2846916608.0,196173824.0,1776611328.0,1.96450566144e+11,6.220,2.630,1.710,5213771.0,5565021.0
09-05 23:24:19,14.429,2.551,82.996,0.0,0.0,0.025,2847412224.0,196173824.0,1776611328.0,1.96450070528e+11,5.960,2.630,1.710,4865038.0,5217118.0
09-05 23:24:20,13.700,3.928,82.347,0.0,0.0,0.025,2847240192.0,196173824.0,1776611328.0,1.9645024256e+11,5.960,2.630,1.710,4869431.0,5569220.0
09-05 23:24:21,16.006,3.279,80.690,0.0,0.0,0.024,2849951744.0,196173824.0,1776611328.0,1.96447531008e+11,5.960,2.630,1.710,4874366.0,5216470.0
09-05 23:24:22,12.689,2.338,84.973,0.0,0.0,0.0,2852814848.0,196173824.0,1776611328.0,1.96444667904e+11,5.960,2.630,1.710,4550927.0,5213850.0
09-05 23:24:23,14.075,2.780,83.120,0.0,0.0,0.025,2854264832.0,196182016.0,1776611328.0,1.96443209728e+11,5.960,2.630,1.710,4872432.0,5220373.0
09-05 23:24:24,15.273,2.221,82.481,0.0,0.0,0.025,2855886848.0,196182016.0,1776611328.0,1.96441587712e+11,5.560,2.610,1.710,5205021.0,5565870.0
09-05 23:24:25,13.990,2.968,82.993,0.0,0.0,0.050,2853679104.0,196182016.0,1776611328.0,1.96443795456e+11,5.560,2.610,1.710,4865265.0,5560730.0
09-05 23:24:26,14.477,3.440,82.059,0.0,0.0,0.025,2853941248.0,196182016.0,1776611328.0,1.96443533312e+11,5.560,2.610,1.710,4862380.0,5217078.0
09-05 23:24:27,13.516,3.171,83.287,0.0,0.0,0.025,2857021440.0,196182016.0,1776611328.0,1.9644045312e+11,5.560,2.610,1.710,4865487.0,5561439.0
09-05 23:24:28,13.915,2.773,83.312,0.0,0.0,0.0,2855804928.0,196182016.0,1776611328.0,1.96441669632e+11,5.560,2.610,1.710,4871339.0,5217984.0
09-05 23:24:29,14.810,2.654,82.486,0.0,0.0,0.050,2855424000.0,196190208.0,1776611328.0,1.96442042368e+11,5.200,2.580,1.710,5203398.0,5561800.0
09-05 23:24:30,14.247,3.710,82.043,0.0,0.0,0.0,2857668608.0,196190208.0,1776611328.0,1.9643979776e+11,5.200,2.580,1.710,4866395.0,5563287.0
09-05 23:24:31,13.150,2.803,84.047,0.0,0.0,0.0,2855858176.0,196190208.0,1776611328.0,1.96441608192e+11,5.200,2.580,1.710,4865287.0,5216474.0
09-05 23:24:32,12.298,3.543,84.135,0.0,0.0,0.025,2857885696.0,196190208.0,1776611328.0,1.96439580672e+11,5.200,2.580,1.710,5212370.0,5564325.0
09-05 23:24:33,14.171,2.663,83.166,0.0,0.0,0.0,2859700224.0,196190208.0,1776611328.0,1.96437766144e+11,5.200,2.580,1.710,4867584.0,5559775.0
09-05 23:24:34,12.266,2.919,84.789,0.0,0.0,0.026,2860793856.0,196190208.0,1776611328.0,1.96436672512e+11,5.580,2.700,1.750,4872147.0,5215509.0
09-05 23:24:35,14.375,3.183,82.442,0.0,0.0,0.0,2859712512.0,196198400.0,1776611328.0,1.96437745664e+11,5.580,2.700,1.750,5207716.0,5631877.0
09-05 23:24:36,12.108,4.512,83.354,0.0,0.0,0.025,2860908544.0,196198400.0,1776611328.0,1.96436549632e+11,5.580,2.700,1.750,4866564.0,5496916.0
09-05 23:24:37,14.631,4.244,81.100,0.0,0.0,0.025,2859573248.0,196198400.0,1776611328.0,1.96437884928e+11,5.580,2.700,1.750,5211085.0,5563108.0
09-05 23:24:38,14.335,3.943,81.721,0.0,0.0,0.0,2861428736.0,196198400.0,1776611328.0,1.9643602944e+11,5.580,2.700,1.750,4866481.0,5560542.0
09-05 23:24:39,15.071,2.871,82.034,0.0,0.0,0.025,2862227456.0,196198400.0,1776611328.0,1.9643523072e+11,5.210,2.680,1.750,4869864.0,5216368.0
09-05 23:24:40,14.813,3.814,81.324,0.0,0.0,0.049,2862882816.0,196198400.0,1776611328.0,1.9643457536e+11,5.210,2.680,1.750,4861929.0,5563842.0
09-05 23:24:41,13.744,2.223,84.032,0.0,0.0,0.0,2863525888.0,196202496.0,1776611328.0,1.96433928192e+11,5.210,2.680,1.750,4863736.0,5215619.0
09-05 23:24:42,14.264,2.020,83.691,0.0,0.0,0.025,2862915584.0,196202496.0,1776611328.0,1.96434538496e+11,5.210,2.680,1.750,5211136.0,5561107.0
09-05 23:24:43,13.372,3.374,83.254,0.0,0.0,0.0,2861260800.0,196202496.0,1776615424.0,1.96436189184e+11,5.210,2.680,1.750,4538992.0,5217250.0
09-05 23:24:44,14.103,2.635,83.212,0.0,0.0,0.050,2864082944.0,196202496.0,1776619520.0,1.96433362944e+11,4.880,2.650,1.740,5205307.0,5574603.0
09-05 23:24:45,15.810,2.863,81.302,0.0,0.0,0.024,2863771648.0,196202496.0,1776619520.0,1.9643367424e+11,4.880,2.650,1.740,4868063.0,5561343.0
09-05 23:24:46,12.801,2.253,84.921,0.0,0.0,0.026,2863190016.0,196202496.0,1776619520.0,1.96434255872e+11,4.880,2.650,1.740,5212557.0,5573914.0
09-05 23:24:47,13.040,2.796,84.138,0.0,0.0,0.025,2865979392.0,196202496.0,1776619520.0,1.96431466496e+11,4.880,2.650,1.740,4869832.0,5570865.0
09-05 23:24:48,13.365,2.906,83.704,0.0,0.0,0.025,2863554560.0,196202496.0,1776619520.0,1.96433891328e+11,4.880,2.650,1.740,5048066.0,5220931.0
09-05 23:24:49,10.568,2.024,87.382,0.0,0.0,0.026,2864103424.0,196202496.0,1776619520.0,1.96433342464e+11,4.560,2.620,1.740,5032704.0,5576218.0
09-05 23:24:50,14.988,2.618,82.369,0.0,0.0,0.025,2864545792.0,196202496.0,1776619520.0,1.96432900096e+11,4.560,2.620,1.740,4870670.0,5563706.0
09-05 23:24:51,13.639,2.743,83.593,0.0,0.0,0.025,2863214592.0,196202496.0,1776619520.0,1.96434231296e+11,4.560,2.620,1.740,5211903.0,5565421.0
09-05 23:24:52,13.664,1.730,84.580,0.0,0.0,0.025,2862739456.0,196202496.0,1776619520.0,1.96434706432e+11,4.560,2.620,1.740,4869283.0,5562185.0
09-05 23:24:53,13.592,2.769,83.614,0.0,0.0,0.025,2863706112.0,196202496.0,1776619520.0,1.96433739776e+11,4.560,2.620,1.740,4866076.0,5215300.0
09-05 23:24:54,13.086,3.094,83.794,0.0,0.0,0.025,2862706688.0,196202496.0,1776619520.0,1.964347392e+11,4.280,2.590,1.730,4870663.0,5559154.0
09-05 23:24:55,11.866,3.332,84.751,0.0,0.0,0.051,2864197632.0,196202496.0,1776619520.0,1.96433248256e+11,4.280,2.590,1.730,5212956.0,5565028.0
09-05 23:24:56,12.233,3.128,84.639,0.0,0.0,0.0,2864762880.0,196202496.0,1776619520.0,1.96432683008e+11,4.280,2.590,1.730,4868608.0,5559297.0
09-05 23:24:57,12.367,2.251,85.356,0.0,0.0,0.026,2864197632.0,196202496.0,1776619520.0,1.96433248256e+11,4.280,2.590,1.730,4865073.0,5215173.0
09-05 23:24:58,13.468,2.900,83.581,0.0,0.0,0.050,2864218112.0,196202496.0,1776619520.0,1.96433227776e+11,4.280,2.590,1.730,4863674.0,5215978.0
09-05 23:24:59,11.528,3.050,85.423,0.0,0.0,0.0,2867646464.0,196202496.0,1776619520.0,1.96429799424e+11,4.280,2.590,1.730,4867167.0,5560251.0
09-05 23:25:00,12.273,2.710,84.991,0.0,0.0,0.026,2865942528.0,196202496.0,1776619520.0,1.9643150336e+11,4.100,2.580,1.730,4871782.0,5215477.0
09-05 23:25:01,13.049,2.528,84.423,0.0,0.0,0.0,2865295360.0,196202496.0,1776619520.0,1.96432150528e+11,4.100,2.580,1.730,4859005.0,5559667.0
09-05 23:25:02,11.264,2.673,86.063,0.0,0.0,0.0,2866487296.0,196202496.0,1776619520.0,1.96430958592e+11,4.100,2.580,1.730,5211855.0,5562875.0
09-05 23:25:03,13.029,2.473,84.472,0.0,0.0,0.025,2868338688.0,196202496.0,1776623616.0,1.96429103104e+11,4.100,2.580,1.730,5207232.0,5215823.0
09-05 23:25:04,11.279,2.141,86.580,0.0,0.0,0.0,2865590272.0,196202496.0,1776623616.0,1.9643185152e+11,4.100,2.580,1.730,4867941.0,5563263.0
09-05 23:25:05,12.223,2.218,85.560,0.0,0.0,0.0,2866638848.0,196210688.0,1776623616.0,1.96430794752e+11,4.170,2.620,1.750,4867318.0,5560542.0
09-05 23:25:06,13.526,2.786,83.663,0.0,0.0,0.025,2868989952.0,196210688.0,1776623616.0,1.96428443648e+11,4.170,2.620,1.750,5212495.0,5562548.0
09-05 23:25:07,11.033,2.484,86.458,0.0,0.0,0.026,2866929664.0,196210688.0,1776623616.0,1.96430503936e+11,4.170,2.620,1.750,4870747.0,5589714.0
09-05 23:25:08,13.545,2.669,83.761,0.0,0.0,0.025,2869497856.0,196210688.0,1776623616.0,1.96427935744e+11,4.170,2.620,1.750,4866082.0,5215467.0
09-05 23:25:09,12.845,2.426,84.729,0.0,0.0,0.0,2865934336.0,196210688.0,1776623616.0,1.96431499264e+11,4.170,2.620,1.750,4872345.0,5215740.0
09-05 23:25:10,15.059,3.140,81.800,0.0,0.0,0.0,2866798592.0,196210688.0,1776623616.0,1.96430635008e+11,3.920,2.600,1.750,4868110.0,5559889.0
09-05 23:25:11,12.592,3.275,84.108,0.0,0.0,0.025,2867150848.0,196210688.0,1776623616.0,1.96430282752e+11,3.920,2.600,1.750,5204532.0,5562248.0
09-05 23:25:12,11.874,3.839,84.261,0.0,0.0,0.025,2869350400.0,196210688.0,1776623616.0,1.964280832e+11,3.920,2.600,1.750,4866819.0,5558600.0
09-05 23:25:13,13.627,2.938,83.409,0.0,0.0,0.025,2868731904.0,196210688.0,1776627712.0,1.964286976e+11,3.920,2.600,1.750,4872372.0,5216032.0
09-05 23:25:14,15.057,2.724,82.219,0.0,0.0,0.0,2867691520.0,196210688.0,1776627712.0,1.96429737984e+11,3.920,2.600,1.750,4865559.0,5559238.0
09-05 23:25:15,14.807,2.683,82.484,0.0,0.0,0.025,2869592064.0,196210688.0,1776627712.0,1.9642783744e+11,3.680,2.570,1.740,5205338.0,5563702.0
09-05 23:25:16,12.137,3.767,84.071,0.0,0.0,0.025,2870693888.0,196210688.0,1776627712.0,1.96426735616e+11,3.680,2.570,1.740,5211394.0,5215559.0
09-05 23:25:17,13.849,3.456,82.670,0.0,0.0,0.025,2870935552.0,196218880.0,1776627712.0,1.9642648576e+11,3.680,2.570,1.740,4869420.0,5907056.0
09-05 23:25:18,14.483,2.209,83.308,0.0,0.0,0.0,2868740096.0,196218880.0,1776627712.0,1.96428681216e+11,3.680,2.570,1.740,4865782.0,5215809.0
09-05 23:25:19,14.132,2.756,83.112,0.0,0.0,0.0,2869145600.0,196218880.0,1776627712.0,1.96428275712e+11,3.680,2.570,1.740,4868142.0,5559971.0
09-05 23:25:20,13.662,2.285,84.053,0.0,0.0,0.0,2869870592.0,196218880.0,1776627712.0,1.9642755072e+11,3.470,2.540,1.740,4864492.0,5215004.0
09-05 23:25:21,12.985,2.688,84.301,0.0,0.0,0.025,2870013952.0,196218880.0,1776627712.0,1.9642740736e+11,3.470,2.540,1.740,4864973.0,5559926.0
09-05 23:25:22,15.090,2.515,82.371,0.0,0.0,0.025,2870439936.0,196218880.0,1776627712.0,1.96426981376e+11,3.470,2.540,1.740,4870081.0,5215248.0
09-05 23:25:23,15.875,2.768,81.333,0.0,0.0,0.024,2872582144.0,196218880.0,1776627712.0,1.96424839168e+11,3.470,2.540,1.740,4863087.0,5216007.0
09-05 23:25:24,13.406,2.661,83.908,0.0,0.0,0.025,2869956608.0,196218880.0,1776627712.0,1.96427464704e+11,3.470,2.540,1.740,4860889.0,5559521.0
09-05 23:25:25,15.122,2.669,82.160,0.0,0.0,0.049,2870312960.0,196218880.0,1776627712.0,1.96427108352e+11,3.430,2.550,1.750,4870706.0,5215114.0
09-05 23:25:26,13.148,2.958,83.869,0.0,0.0,0.025,2872320000.0,196218880.0,1776627712.0,1.96425101312e+11,3.430,2.550,1.750,4860400.0,5559503.0
09-05 23:25:27,12.653,3.087,84.235,0.0,0.0,0.026,2872614912.0,196218880.0,1776627712.0,1.964248064e+11,3.430,2.550,1.750,4863100.0,5214801.0
09-05 23:25:28,13.990,2.601,83.409,0.0,0.0,0.0,2873606144.0,196218880.0,1776627712.0,1.96423815168e+11,3.430,2.550,1.750,4871466.0,5215431.0
09-05 23:25:29,13.332,3.075,83.594,0.0,0.0,0.0,2877157376.0,196222976.0,1776627712.0,1.9642025984e+11,3.430,2.550,1.750,4865766.0,5560505.0
09-05 23:25:30,13.673,2.106,84.196,0.0,0.0,0.025,2875056128.0,196222976.0,1776627712.0,1.96422361088e+11,6.280,3.160,1.950,4863564.0,5215933.0
09-05 23:25:31,14.422,2.579,82.974,0.0,0.0,0.025,2878066688.0,196222976.0,1776627712.0,1.96419350528e+11,6.280,3.160,1.950,4864027.0,5560364.0
09-05 23:25:32,13.938,3.134,82.928,0.0,0.0,0.0,2876936192.0,196222976.0,1776631808.0,1.96420476928e+11,6.280,3.160,1.950,4869897.0,5216514.0
09-05 23:25:33,12.639,3.280,84.031,0.0,0.0,0.050,2875674624.0,196222976.0,1776631808.0,1.96421738496e+11,6.280,3.160,1.950,4860875.0,5226228.0
09-05 23:25:34,13.948,3.705,82.347,0.0,0.0,0.0,2878431232.0,196222976.0,1776631808.0,1.96418981888e+11,6.280,3.160,1.950,4858749.0,5558232.0
09-05 23:25:35,12.903,2.972,84.074,0.0,0.0,0.051,2877595648.0,196227072.0,1776631808.0,1.96419813376e+11,5.850,3.120,1.940,4869129.0,5215589.0
09-05 23:25:36,11.950,2.756,85.269,0.0,0.0,0.026,2876747776.0,196227072.0,1776631808.0,1.96420661248e+11,5.850,3.120,1.940,5204532.0,5564811.0
09-05 23:25:37,13.333,3.069,83.572,0.0,0.0,0.025,2878472192.0,196227072.0,1776631808.0,1.96418936832e+11,5.850,3.120,1.940,4862941.0,5214877.0
09-05 23:25:38,12.751,2.921,84.303,0.0,0.0,0.025,2876547072.0,196227072.0,1776631808.0,1.96420861952e+11,5.850,3.120,1.940,4865662.0,5560406.0
09-05 23:25:39,15.100,2.761,82.114,0.0,0.0,0.025,2876858368.0,196227072.0,1776631808.0,1.96420550656e+11,5.850,3.120,1.940,4870286.0,5215048.0
09-05 23:25:40,14.119,2.963,82.893,0.0,0.0,0.025,2877988864.0,196227072.0,1776631808.0,1.9641942016e+11,5.630,3.120,1.950,4857959.0,5559795.0
09-05 23:25:41,12.557,3.177,84.240,0.0,0.0,0.025,2876710912.0,196231168.0,1776631808.0,1.96420694016e+11,5.630,3.120,1.950,4861466.0,5215245.0
09-05 23:25:42,14.789,3.451,81.760,0.0,0.0,0.0,2877218816.0,196231168.0,1776635904.0,1.96420182016e+11,5.630,3.120,1.950,4869487.0,5216451.0
09-05 23:25:43,13.165,2.147,84.663,0.0,0.0,0.026,2879258624.0,196231168.0,1776635904.0,1.96418142208e+11,5.630,3.120,1.950,4857577.0,5559133.0
09-05 23:25:44,12.750,2.991,84.259,0.0,0.0,0.0,2879655936.0,196231168.0,1776635904.0,1.96417744896e+11,5.630,3.120,1.950,4861672.0,5215256.0
09-05 23:25:45,13.175,2.277,84.523,0.0,0.0,0.026,2877489152.0,196231168.0,1776635904.0,1.9641991168e+11,5.340,3.100,1.950,4863159.0,5212643.0
09-05 23:25:46,14.196,2.554,83.250,0.0,0.0,0.0,2878984192.0,196231168.0,1776635904.0,1.9641841664e+11,5.340,3.100,1.950,4866974.0,5561476.0
09-05 23:25:47,12.029,2.272,85.700,0.0,0.0,0.0,2879008768.0,196231168.0,1776635904.0,1.96418392064e+11,5.340,3.100,1.950,4862592.0,5214836.0
09-05 23:25:48,14.121,3.124,82.729,0.0,0.0,0.025,2879610880.0,196231168.0,1776635904.0,1.96417789952e+11,5.340,3.100,1.950,4866873.0,5560371.0
09-05 23:25:49,14.862,2.356,82.757,0.0,0.0,0.025,2880364544.0,196231168.0,1776635904.0,1.96417036288e+11,5.340,3.100,1.950,5206059.0,5216738.0
09-05 23:25:50,14.453,2.761,82.761,0.0,0.0,0.025,2879291392.0,196231168.0,1776635904.0,1.9641810944e+11,4.990,3.060,1.940,4529324.0,5560150.0
09-05 23:25:51,13.377,3.968,82.605,0.0,0.0,0.050,2879913984.0,196231168.0,1776635904.0,1.96417486848e+11,4.990,3.060,1.940,4856392.0,5216201.0
09-05 23:25:52,13.169,2.842,83.963,0.0,0.0,0.025,2878169088.0,196231168.0,1776640000.0,1.96419227648e+11,4.990,3.060,1.940,4869521.0,5214452.0
